SiteID,DateTime,Year,Latitude,Longitude,Gear,Temp_c
ASH12062,6/6/2018 9:55,2018,46.75009918,-92.0860672,16' Bottom Trawl (4.9 m),15.69999981
ASH12063,6/6/2018 10:20,2018,46.75814819,-92.1126709,16' Bottom Trawl (4.9 m),14.89999962
ASH12064,6/6/2018 10:47,2018,46.76195145,-92.08986664,16' Bottom Trawl (4.9 m),15.19999981
ASH12065,6/6/2018 11:09,2018,46.76597977,-92.0931015,16' Bottom Trawl (4.9 m),15.19999981
ASH12066,6/6/2018 11:26,2018,46.74493027,-92.09221649,16' Bottom Trawl (4.9 m),15.69999981
ASH12067,6/6/2018 12:54,2018,46.74605179,-92.07463074,16' Bottom Trawl (4.9 m),15.80000019
ASH12068,6/6/2018 12:37,2018,46.74607849,-92.07993317,16' Bottom Trawl (4.9 m),16.29999924
ASH12069,6/6/2018 13:08,2018,46.74583054,-92.06860352,16' Bottom Trawl (4.9 m),16.10000038
ASH12070,6/6/2018 13:38,2018,46.73107147,-92.07797241,16' Bottom Trawl (4.9 m),15.39999962
ASH12071,6/7/2018 8:52,2018,46.69472122,-92.01174927,16' Bottom Trawl (4.9 m),15.39999962
ASH12072,6/7/2018 9:10,2018,46.69078064,-92.00015259,16' Bottom Trawl (4.9 m),16.29999924
ASH12073,6/7/2018 9:28,2018,46.68418121,-92.00012207,16' Bottom Trawl (4.9 m),16.79999924
ASH12074,6/7/2018 10:36,2018,46.71831894,-92.051651,16' Bottom Trawl (4.9 m),16.89999962
ASH12075,6/7/2018 11:11,2018,46.72294998,-92.065979,16' Bottom Trawl (4.9 m),17.20000076
ASH12076,6/7/2018 12:28,2018,46.73427963,-92.07415009,16' Bottom Trawl (4.9 m),17.89999962
ASH12077,6/7/2018 13:10,2018,46.75387955,-92.12490082,16' Bottom Trawl (4.9 m),19.60000038
ASH12078,6/7/2018 13:36,2018,46.7396698,-92.09230042,16' Bottom Trawl (4.9 m),19
ASH12079,8/6/2018 9:10,2018,46.69081879,-91.99440002,16' Bottom Trawl (4.9 m),20.79999924
ASH12080,8/6/2018 9:45,2018,46.69483185,-92.0061264,16' Bottom Trawl (4.9 m),19.89999962
ASH12087,8/6/2018 10:24,2018,46.68677902,-92.01216888,16' Bottom Trawl (4.9 m),19.20000076
ASH12088,8/6/2018 11:00,2018,46.69871902,-92.02410126,16' Bottom Trawl (4.9 m),19.29999924
ASH12090,8/6/2018 11:22,2018,46.69968033,-92.02577209,16' Bottom Trawl (4.9 m),20.10000038
ASH12092,8/6/2018 12:30,2018,46.71699905,-92.05175018,16' Bottom Trawl (4.9 m),20.29999924
ASH12093,8/6/2018 13:05,2018,46.71773148,-92.05180359,16' Bottom Trawl (4.9 m),20.39999962
ASH12094,8/6/2018 13:53,2018,46.73012161,-92.06752014,16' Bottom Trawl (4.9 m),20.20000076
ASH12095,8/6/2018 14:20,2018,46.73424911,-92.07372284,16' Bottom Trawl (4.9 m),20.10000038
ASH12096,8/7/2018 8:40,2018,46.73807144,-92.06317139,16' Bottom Trawl (4.9 m),19.20000076
ASH12097,8/7/2018 9:19,2018,46.75381851,-92.08036804,16' Bottom Trawl (4.9 m),18.70000076
ASH12098,8/7/2018 9:57,2018,46.74991989,-92.07450104,16' Bottom Trawl (4.9 m),18.70000076
