"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
1997-10-20,"Atlantic Salmon","A724","528","1200","U"
1997-10-20,"Atlantic Salmon","A725","506","1100","U"
1997-10-20,"Atlantic Salmon","A726","552","1390","U"
1997-10-20,"Atlantic Salmon","A727","539","1320","U"
1997-10-21,"Atlantic Salmon","A729","537","1220","U"
1997-10-27,"Atlantic Salmon","D1612","490",NA,"U"
1997-10-27,"Atlantic Salmon","D1613","520",NA,"U"
1997-10-27,"Atlantic Salmon","D1614","512",NA,"U"
1997-10-27,"Atlantic Salmon","D1615","541",NA,"U"
1997-10-27,"Atlantic Salmon","D1616","540",NA,"U"
1997-10-27,"Atlantic Salmon","D1617","517",NA,"U"
1997-10-27,"Atlantic Salmon","D1618","512",NA,"U"
1997-10-27,"Atlantic Salmon","D1619","448",NA,"U"
1997-10-27,"Atlantic Salmon","D1620","530",NA,"U"
1997-10-27,"Atlantic Salmon","D1621","498",NA,"U"
1997-10-27,"Atlantic Salmon","D1622","500",NA,"U"
1997-10-27,"Atlantic Salmon","D1623","530",NA,"U"
1997-10-27,"Atlantic Salmon","D1624","523",NA,"U"
1997-10-27,"Atlantic Salmon","D1625","522",NA,"U"
1997-10-27,"Atlantic Salmon","D1632","526",NA,"U"
1997-10-29,"Atlantic Salmon","A730","520","1250","U"
1997-10-29,"Atlantic Salmon","A731","553","1300","U"
1997-11-03,"Atlantic Salmon","A732","550","1420","U"
1997-11-03,"Atlantic Salmon","A733","500","1100","U"
1997-11-03,"Atlantic Salmon","A734","541","1480","U"
1997-11-03,"Atlantic Salmon","A735","553","1750","U"
1997-11-03,"Atlantic Salmon","A736","518","1280","U"
1997-11-03,"Atlantic Salmon","A737","552","1420","U"
1997-11-03,"Atlantic Salmon","A738","484","1150","U"
1997-11-03,"Atlantic Salmon","A739","497","1000","U"
1997-11-03,"Atlantic Salmon","A740","560","1550","U"
1997-11-03,"Atlantic Salmon","A741","472","850","U"
1997-11-03,"Atlantic Salmon","A742","530","1150","U"
1997-11-03,"Atlantic Salmon","A743","537","1550","U"
1997-11-05,"Atlantic Salmon","A744","494","1100","U"
1997-11-05,"Atlantic Salmon","A745","490","1180","U"
1997-11-05,"Atlantic Salmon","A746","520","1400","U"
1997-11-05,"Atlantic Salmon","A747","548","1700","U"
1997-11-05,"Atlantic Salmon","A748","517","1250","U"
1997-11-05,"Atlantic Salmon","A749","510","1100","U"
1997-11-07,"Atlantic Salmon","A750","472","1100","U"
1998-09-21,"Atlantic Salmon","A901","559","1900","U"
1998-09-21,"Atlantic Salmon","A902","530","1600","U"
